Id,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,Season,Id_HomeTeam,Id_AwayTeam,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWin3,HTWin5,HTLoss3,HTLoss5,ATWin3,ATWin5,ATLoss3,ATLoss5,HTDG,ATDG,DiffPts,DiffFormPts,Journey,Med_HTDG,Med_ATDG,Med_DiffPts,Med_DiffFormPts,Med_HTP,Med_ATP,Med_HTGS,Med_ATGS,Med_HTGC,Med_ATGC,FTR_h_or_not,year,month,day
40,0,11,9,1,1,0,0,0,0,8,10,3,3,14,9,4,1,3,3,0,0,2.62,3.1,2.9,2.45,2.95,2.85,2223,35,34,12,9,20,12,12,17,1,0,2,1,0,0,1,1,0,0,27,36,5,3,0,0,0,0,0,0,0,0,-8,-3,-5,2,16,-0.5,-0.1875,-0.3125,0.125,0.75,1.0625,0.75,0.5625,1.25,0.75,1,2022,11,19
41,0,5,7,2,0,2,0,0,0,17,5,6,2,17,12,10,5,3,3,0,0,2.1,3.0,4.2,2.05,2.95,3.6,2223,38,28,16,10,16,9,19,23,1,2,2,1,0,2,0,0,0,0,201,25,6,8,0,0,0,0,0,0,0,0,0,1,-4,-2,16,0.0,0.0625,-0.25,-0.125,1.1875,1.4375,1.0,0.625,1.0,0.5625,0,2022,11,19
42,0,16,2,1,1,0,0,0,0,24,6,9,3,19,9,15,2,2,2,0,1,2.05,3.1,4.2,1.98,2.87,4.1,2223,41,33,13,10,14,16,20,12,2,1,2,1,1,0,0,0,0,0,188,37,8,3,0,0,0,0,0,0,0,0,-1,-6,8,5,16,-0.0625,-0.375,0.5,0.3125,1.25,0.75,0.8125,0.625,0.875,1.0,1,2022,11,19
43,0,19,8,4,0,2,0,0,0,23,2,7,1,18,14,7,1,3,2,0,2,2.05,3.3,3.8,1.98,3.2,3.6,2223,27,21,16,15,13,21,20,16,1,1,2,1,1,0,0,2,0,0,288,38,5,5,0,0,0,0,0,0,0,0,3,-6,4,0,16,0.1875,-0.375,0.25,0.0,1.25,1.0,1.0,0.9375,0.8125,1.3125,0,2022,11,18
55,0,4,6,1,1,0,1,1,0,12,14,5,5,12,16,4,10,2,2,1,1,2.62,2.87,3.1,2.45,2.95,2.8,2223,32,24,11,15,19,11,11,22,1,2,0,0,1,2,0,1,1,0,250,39,2,8,0,0,0,0,0,0,0,0,-8,4,-11,-6,15,-0.5333333333333333,0.2666666666666666,-0.7333333333333333,-0.4,0.7333333333333333,1.4666666666666666,0.7333333333333333,1.0,1.2666666666666666,0.7333333333333333,1,2022,11,7
57,0,20,12,1,1,0,1,1,0,14,10,5,7,16,9,12,2,2,1,0,0,2.1,3.4,3.6,2.1,3.1,3.4,2223,29,26,14,13,9,12,24,23,0,1,2,2,0,0,0,0,2,2,48,40,9,8,0,0,0,0,0,0,0,0,5,1,1,1,15,0.3333333333333333,0.0666666666666666,0.0666666666666666,0.0666666666666666,1.6,1.5333333333333334,0.9333333333333332,0.8666666666666667,0.6,0.8,1,2022,11,6
58,0,2,18,1,1,0,0,1,1,14,13,4,5,13,18,3,5,3,4,0,0,2.75,2.9,2.87,2.55,2.95,2.7,2223,33,37,10,14,15,16,12,18,1,1,0,2,0,0,0,2,1,1,285,41,3,7,0,0,0,0,0,0,0,0,-5,-2,-6,-4,15,-0.3333333333333333,-0.1333333333333333,-0.4,-0.2666666666666666,0.8,1.2,0.6666666666666666,0.9333333333333332,1.0,1.0666666666666669,1,2022,11,6
59,0,9,19,1,0,2,0,0,0,3,16,1,3,10,10,1,7,3,2,1,0,2.37,3.1,3.2,2.45,2.87,2.9,2223,34,27,9,16,12,9,16,20,1,2,0,1,1,0,0,0,1,2,250,42,2,8,0,0,0,0,0,0,0,0,-3,7,-4,-6,15,-0.2,0.4666666666666667,-0.2666666666666666,-0.4,1.0666666666666669,1.3333333333333333,0.6,1.0666666666666669,0.8,0.6,0,2022,11,6
60,0,0,15,1,1,0,1,0,2,6,4,4,2,17,6,5,2,1,1,0,0,2.4,3.1,3.1,2.25,3.1,2.95,2223,39,25,10,18,19,16,11,18,2,1,1,2,2,0,0,0,1,1,72,43,7,5,0,0,0,0,0,0,0,0,-9,2,-7,2,15,-0.6,0.1333333333333333,-0.4666666666666667,0.1333333333333333,0.7333333333333333,1.2,0.6666666666666666,1.2,1.2666666666666666,1.0666666666666669,1,2022,11,6
64,0,8,3,2,3,1,1,1,0,12,13,2,3,13,11,4,1,4,4,0,0,2.45,3.2,3.0,2.35,3.0,2.9,2223,21,31,14,13,19,11,16,23,1,1,0,0,2,1,0,1,0,2,209,35,6,4,0,0,0,0,0,0,0,0,-5,2,-7,2,15,-0.3333333333333333,0.1333333333333333,-0.4666666666666667,0.1333333333333333,1.0666666666666669,1.5333333333333334,0.9333333333333332,0.8666666666666667,1.2666666666666666,0.7333333333333333,1,2022,11,6
