Id,Player,Nation,Pos,Team,Age,Born,Pj,Starts,Min,90s,Gls,Ast,GNP,GP,PS,CrdY,CrdR,Gls/Pj,Ast/Pj,G+A,GNP/Pj,G+A-P/Pj,Id_Team,foto
99,Copete,ESP,DF,Mallorca,23,1999,12,12,997,11.1,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,11,https://cdn.sofifa.net/players/notfound_0_60.png
100,Francis Coquelin,FRA,MF,Villarreal,31,1991,11,6,523,5.8,1,0,1,0,0,2,0,0.17,0.0,0.17,0.17,0.17,19,https://cdn.sofifa.net/players/notfound_0_60.png
101,Jesús Corona,MEX,FW,Sevilla,29,1993,1,1,62,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,16,https://cdn.sofifa.net/players/notfound_0_60.png
102,Ángel Correa,ARG,"FW,MF",Atletico Madrid,27,1995,14,4,513,5.7,3,0,3,0,0,1,0,0.53,0.0,0.53,0.53,0.53,2,https://cdn.sofifa.net/players/notfound_0_60.png
103,Thierry Correia,POR,DF,Valencia,23,1999,14,14,1211,13.5,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,17,https://cdn.sofifa.net/players/notfound_0_60.png
104,Jaume Costa,ESP,DF,Mallorca,34,1988,11,11,964,10.7,0,1,0,0,0,4,0,0.0,0.09,0.09,0.0,0.09,11,https://cdn.sofifa.net/players/notfound_0_60.png
105,Samu Costa,POR,MF,Almeria,22,2000,11,8,768,8.5,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0,https://cdn.sofifa.net/players/notfound_0_60.png
106,Thibaut Courtois,BEL,GK,Real Madrid,30,1992,10,10,900,10.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,14,https://cdn.sofifa.net/players/notfound_0_60.png
107,Yan Couto,BRA,"DF,FW",Girona,20,2002,10,5,506,5.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,10,https://cdn.sofifa.net/players/notfound_0_60.png
108,Juan Cruz Armada,ESP,DF,Osasuna,30,1992,13,11,1006,11.2,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,12,https://cdn.sofifa.net/players/notfound_0_60.png
109,Juan Cruz,ESP,FW,Betis,22,2000,5,1,174,1.9,1,0,1,0,0,0,0,0.52,0.0,0.52,0.52,0.52,4,https://cdn.sofifa.net/players/notfound_0_60.png
110,Jorge Cuenca,ESP,DF,Villarreal,23,1999,2,1,95,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,19,https://cdn.sofifa.net/players/notfound_0_60.png
